"Year","Date","name","value","Group","DOY"
2019,2019-04-14,"Phycocyanin",4.17,"Phytoplankton",104
2019,2019-04-15,"Chlorophyll a",29.235,"Phytoplankton",105
2019,2019-04-15,"Phycocyanin",3.06,"Phytoplankton",105
2019,2019-04-16,"Chlorophyll a",20.79,"Phytoplankton",106
2019,2019-04-16,"Phycocyanin",2.39,"Phytoplankton",106
2019,2019-04-17,"Chlorophyll a",12.295,"Phytoplankton",107
2019,2019-04-17,"Phycocyanin",1.77,"Phytoplankton",107
2019,2019-04-18,"Chlorophyll a",5.39,"Phytoplankton",108
2019,2019-04-18,"Phycocyanin",1.035,"Phytoplankton",108
2019,2019-04-19,"Chlorophyll a",3.64,"Phytoplankton",109
2019,2019-04-19,"Phycocyanin",0.73,"Phytoplankton",109
2019,2019-04-20,"Chlorophyll a",2.975,"Phytoplankton",110
2019,2019-04-20,"Phycocyanin",0.61,"Phytoplankton",110
2019,2019-04-21,"Chlorophyll a",2.99,"Phytoplankton",111
2019,2019-04-21,"Phycocyanin",0.605,"Phytoplankton",111
2019,2019-04-22,"Chlorophyll a",3.13,"Phytoplankton",112
2019,2019-04-22,"Phycocyanin",0.57,"Phytoplankton",112
2019,2019-04-23,"Chlorophyll a",3.52,"Phytoplankton",113
2019,2019-04-23,"Phycocyanin",0.605,"Phytoplankton",113
2019,2019-04-24,"Chlorophyll a",3.36,"Phytoplankton",114
2019,2019-04-24,"Phycocyanin",0.63,"Phytoplankton",114
2019,2019-04-25,"Chlorophyll a",3.75,"Phytoplankton",115
2019,2019-04-25,"Phycocyanin",0.74,"Phytoplankton",115
2019,2019-04-26,"Chlorophyll a",4.06,"Phytoplankton",116
2019,2019-04-26,"Phycocyanin",0.765,"Phytoplankton",116
2019,2019-04-27,"Chlorophyll a",4.615,"Phytoplankton",117
2019,2019-04-27,"Phycocyanin",0.83,"Phytoplankton",117
2019,2019-04-28,"Chlorophyll a",5.05,"Phytoplankton",118
2019,2019-04-28,"Phycocyanin",0.93,"Phytoplankton",118
2019,2019-04-29,"Chlorophyll a",5.385,"Phytoplankton",119
2019,2019-04-29,"Phycocyanin",0.935,"Phytoplankton",119
2019,2019-04-30,"Chlorophyll a",5.065,"Phytoplankton",120
2019,2019-04-30,"Phycocyanin",0.83,"Phytoplankton",120
2019,2019-05-01,"Chlorophyll a",5.865,"Phytoplankton",121
2019,2019-05-01,"Phycocyanin",0.89,"Phytoplankton",121
2019,2019-05-02,"Chlorophyll a",5.09,"Phytoplankton",122
2019,2019-05-02,"Phycocyanin",0.89,"Phytoplankton",122
2019,2019-05-03,"Chlorophyll a",5.67,"Phytoplankton",123
2019,2019-05-03,"Phycocyanin",1.05,"Phytoplankton",123
2019,2019-05-04,"Chlorophyll a",4.28,"Phytoplankton",124
2019,2019-05-04,"Phycocyanin",0.94,"Phytoplankton",124
2019,2019-05-05,"Chlorophyll a",4.67,"Phytoplankton",125
2019,2019-05-05,"Phycocyanin",1.065,"Phytoplankton",125
2019,2019-05-06,"Chlorophyll a",5.54,"Phytoplankton",126
2019,2019-05-06,"Phycocyanin",1.17,"Phytoplankton",126
2019,2019-05-07,"Chlorophyll a",6.22,"Phytoplankton",127
2019,2019-05-07,"Phycocyanin",1.255,"Phytoplankton",127
2019,2019-05-08,"Chlorophyll a",5.09,"Phytoplankton",128
2019,2019-05-08,"Phycocyanin",1.13,"Phytoplankton",128
2019,2019-05-09,"Chlorophyll a",4.08,"Phytoplankton",129
2019,2019-05-09,"Phycocyanin",0.975,"Phytoplankton",129
2019,2019-05-10,"Chlorophyll a",4.44,"Phytoplankton",130
2019,2019-05-10,"Phycocyanin",0.91,"Phytoplankton",130
2019,2019-05-11,"Chlorophyll a",4.705,"Phytoplankton",131
2019,2019-05-11,"Phycocyanin",0.87,"Phytoplankton",131
2019,2019-05-12,"Chlorophyll a",5.165,"Phytoplankton",132
2019,2019-05-12,"Phycocyanin",0.905,"Phytoplankton",132
2019,2019-05-13,"Chlorophyll a",4.76,"Phytoplankton",133
2019,2019-05-13,"Phycocyanin",0.87,"Phytoplankton",133
2019,2019-05-14,"Chlorophyll a",4.31,"Phytoplankton",134
2019,2019-05-14,"Phycocyanin",0.805,"Phytoplankton",134
2019,2019-05-15,"Chlorophyll a",3.88,"Phytoplankton",135
2019,2019-05-15,"Phycocyanin",0.71,"Phytoplankton",135
2019,2019-05-16,"Chlorophyll a",3.86,"Phytoplankton",136
2019,2019-05-16,"Phycocyanin",0.745,"Phytoplankton",136
2019,2019-05-17,"Chlorophyll a",4.08,"Phytoplankton",137
2019,2019-05-17,"Phycocyanin",0.905,"Phytoplankton",137
2019,2019-05-18,"Chlorophyll a",3.93,"Phytoplankton",138
2019,2019-05-18,"Phycocyanin",0.77,"Phytoplankton",138
2019,2019-05-19,"Chlorophyll a",3.3,"Phytoplankton",139
2019,2019-05-19,"Phycocyanin",0.65,"Phytoplankton",139
2019,2019-05-20,"Chlorophyll a",3.67,"Phytoplankton",140
2019,2019-05-20,"Phycocyanin",0.775,"Phytoplankton",140
2019,2019-05-21,"Chlorophyll a",3.54,"Phytoplankton",141
2019,2019-05-21,"Phycocyanin",0.705,"Phytoplankton",141
2019,2019-05-22,"Chlorophyll a",3.44,"Phytoplankton",142
2019,2019-05-22,"Phycocyanin",0.62,"Phytoplankton",142
2019,2019-05-23,"Chlorophyll a",3.455,"Phytoplankton",143
2019,2019-05-23,"Phycocyanin",0.59,"Phytoplankton",143
2019,2019-05-24,"Chlorophyll a",3.29,"Phytoplankton",144
2019,2019-05-24,"Phycocyanin",0.515,"Phytoplankton",144
2019,2019-05-25,"Chlorophyll a",3.84,"Phytoplankton",145
2019,2019-05-25,"Phycocyanin",0.65,"Phytoplankton",145
2019,2019-05-26,"Chlorophyll a",3.95,"Phytoplankton",146
2019,2019-05-26,"Phycocyanin",0.69,"Phytoplankton",146
2019,2019-05-27,"Chlorophyll a",4.1,"Phytoplankton",147
2019,2019-05-27,"Phycocyanin",0.71,"Phytoplankton",147
2019,2019-05-28,"Chlorophyll a",5.005,"Phytoplankton",148
2019,2019-05-28,"Phycocyanin",0.89,"Phytoplankton",148
2019,2019-05-29,"Chlorophyll a",4.09,"Phytoplankton",149
2019,2019-05-29,"Phycocyanin",0.7,"Phytoplankton",149
2019,2019-05-30,"Chlorophyll a",4.595,"Phytoplankton",150
2019,2019-05-30,"Phycocyanin",0.78,"Phytoplankton",150
2019,2019-05-31,"Chlorophyll a",4.73,"Phytoplankton",151
2019,2019-05-31,"Phycocyanin",0.82,"Phytoplankton",151
2019,2019-06-01,"Chlorophyll a",4.54,"Phytoplankton",152
2019,2019-06-01,"Phycocyanin",0.78,"Phytoplankton",152
2019,2019-06-02,"Chlorophyll a",3.77,"Phytoplankton",153
2019,2019-06-02,"Phycocyanin",0.63,"Phytoplankton",153
2019,2019-06-03,"Chlorophyll a",4.095,"Phytoplankton",154
2019,2019-06-03,"Phycocyanin",0.705,"Phytoplankton",154
2019,2019-06-04,"Chlorophyll a",4.445,"Phytoplankton",155
2019,2019-06-04,"Phycocyanin",0.73,"Phytoplankton",155
2019,2019-06-05,"Chlorophyll a",5.665,"Phytoplankton",156
2019,2019-06-05,"Phycocyanin",0.87,"Phytoplankton",156
2019,2019-06-06,"Chlorophyll a",6.375,"Phytoplankton",157
2019,2019-06-06,"Phycocyanin",1.06,"Phytoplankton",157
2019,2019-06-07,"Chlorophyll a",5.31,"Phytoplankton",158
2019,2019-06-07,"Phycocyanin",0.84,"Phytoplankton",158
2019,2019-06-08,"Chlorophyll a",7.23,"Phytoplankton",159
2019,2019-06-08,"Phycocyanin",1.23,"Phytoplankton",159
2019,2019-06-09,"Chlorophyll a",7.68,"Phytoplankton",160
2019,2019-06-09,"Phycocyanin",1.17,"Phytoplankton",160
2019,2019-06-10,"Chlorophyll a",8.45,"Phytoplankton",161
2019,2019-06-10,"Phycocyanin",1.22,"Phytoplankton",161
2019,2019-06-11,"Chlorophyll a",8.28,"Phytoplankton",162
2019,2019-06-11,"Phycocyanin",1.1,"Phytoplankton",162
2019,2019-06-12,"Chlorophyll a",8.75,"Phytoplankton",163
2019,2019-06-12,"Phycocyanin",1.205,"Phytoplankton",163
2019,2019-06-13,"Chlorophyll a",6.63,"Phytoplankton",164
2019,2019-06-13,"Phycocyanin",1.015,"Phytoplankton",164
2019,2019-06-14,"Chlorophyll a",8.21,"Phytoplankton",165
2019,2019-06-14,"Phycocyanin",1.175,"Phytoplankton",165
2019,2019-06-15,"Chlorophyll a",6.63,"Phytoplankton",166
2019,2019-06-15,"Phycocyanin",0.925,"Phytoplankton",166
2019,2019-06-16,"Chlorophyll a",8.035,"Phytoplankton",167
2019,2019-06-16,"Phycocyanin",1.135,"Phytoplankton",167
2019,2019-06-17,"Chlorophyll a",7.525,"Phytoplankton",168
2019,2019-06-17,"Phycocyanin",1,"Phytoplankton",168
2019,2019-06-18,"Chlorophyll a",9.71,"Phytoplankton",169
2019,2019-06-18,"Phycocyanin",1.22,"Phytoplankton",169
2019,2019-06-19,"Chlorophyll a",11.715,"Phytoplankton",170
2019,2019-06-19,"Phycocyanin",1.335,"Phytoplankton",170
2019,2019-06-20,"Chlorophyll a",11.19,"Phytoplankton",171
2019,2019-06-20,"Phycocyanin",1.29,"Phytoplankton",171
2019,2019-06-21,"Chlorophyll a",12.055,"Phytoplankton",172
2019,2019-06-21,"Phycocyanin",1.505,"Phytoplankton",172
2019,2019-06-22,"Chlorophyll a",15.96,"Phytoplankton",173
2019,2019-06-22,"Phycocyanin",1.79,"Phytoplankton",173
2019,2019-06-23,"Chlorophyll a",21.47,"Phytoplankton",174
2019,2019-06-23,"Phycocyanin",2.1,"Phytoplankton",174
2019,2019-06-24,"Chlorophyll a",28.385,"Phytoplankton",175
2019,2019-06-24,"Phycocyanin",2.8,"Phytoplankton",175
2019,2019-06-25,"Chlorophyll a",31.775,"Phytoplankton",176
2019,2019-06-25,"Phycocyanin",3.4,"Phytoplankton",176
2019,2019-06-26,"Chlorophyll a",28.205,"Phytoplankton",177
2019,2019-06-26,"Phycocyanin",3.48,"Phytoplankton",177
2019,2019-06-27,"Chlorophyll a",43.07,"Phytoplankton",178
2019,2019-06-27,"Phycocyanin",5.23,"Phytoplankton",178
2019,2019-06-28,"Chlorophyll a",40.965,"Phytoplankton",179
2019,2019-06-28,"Phycocyanin",4.74,"Phytoplankton",179
2019,2019-06-29,"Chlorophyll a",36.095,"Phytoplankton",180
2019,2019-06-29,"Phycocyanin",4.08,"Phytoplankton",180
2019,2019-06-30,"Chlorophyll a",32.12,"Phytoplankton",181
2019,2019-06-30,"Phycocyanin",3.255,"Phytoplankton",181
2019,2019-07-01,"Chlorophyll a",36.23,"Phytoplankton",182
2019,2019-07-01,"Phycocyanin",3.415,"Phytoplankton",182
2019,2019-07-02,"Chlorophyll a",62.425,"Phytoplankton",183
2019,2019-07-02,"Phycocyanin",5.1,"Phytoplankton",183
2019,2019-07-03,"Chlorophyll a",87.73,"Phytoplankton",184
2019,2019-07-03,"Phycocyanin",6.81,"Phytoplankton",184
2019,2019-07-04,"Chlorophyll a",99.18,"Phytoplankton",185
2019,2019-07-04,"Phycocyanin",7.93,"Phytoplankton",185
2019,2019-07-05,"Chlorophyll a",94.16,"Phytoplankton",186
2019,2019-07-05,"Phycocyanin",7.445,"Phytoplankton",186
2019,2019-07-06,"Chlorophyll a",92.27,"Phytoplankton",187
2019,2019-07-06,"Phycocyanin",8.06,"Phytoplankton",187
2019,2019-07-07,"Chlorophyll a",90.53,"Phytoplankton",188
2019,2019-07-07,"Phycocyanin",8.825,"Phytoplankton",188
2019,2019-07-08,"Chlorophyll a",99.15,"Phytoplankton",189
2019,2019-07-08,"Phycocyanin",10.045,"Phytoplankton",189
2019,2019-07-09,"Chlorophyll a",98.6,"Phytoplankton",190
2019,2019-07-09,"Phycocyanin",11.495,"Phytoplankton",190
2019,2019-07-10,"Chlorophyll a",96.7,"Phytoplankton",191
2019,2019-07-10,"Phycocyanin",12.71,"Phytoplankton",191
2019,2019-07-11,"Chlorophyll a",81.52,"Phytoplankton",192
2019,2019-07-11,"Phycocyanin",12.975,"Phytoplankton",192
2019,2019-07-12,"Chlorophyll a",82.36,"Phytoplankton",193
2019,2019-07-12,"Phycocyanin",14.705,"Phytoplankton",193
2019,2019-07-13,"Chlorophyll a",81.675,"Phytoplankton",194
2019,2019-07-13,"Phycocyanin",17.13,"Phytoplankton",194
2019,2019-07-14,"Chlorophyll a",79.29,"Phytoplankton",195
2019,2019-07-14,"Phycocyanin",17.65,"Phytoplankton",195
2019,2019-07-15,"Chlorophyll a",80.81,"Phytoplankton",196
2019,2019-07-15,"Phycocyanin",19.73,"Phytoplankton",196
2019,2019-07-16,"Chlorophyll a",84.87,"Phytoplankton",197
2019,2019-07-16,"Phycocyanin",22.63,"Phytoplankton",197
2019,2019-07-17,"Chlorophyll a",77.98,"Phytoplankton",198
2019,2019-07-17,"Phycocyanin",23.99,"Phytoplankton",198
2019,2019-07-18,"Chlorophyll a",65.515,"Phytoplankton",199
2019,2019-07-18,"Phycocyanin",21.05,"Phytoplankton",199
2019,2019-07-19,"Chlorophyll a",54.77,"Phytoplankton",200
2019,2019-07-19,"Phycocyanin",21.89,"Phytoplankton",200
2019,2019-07-20,"Chlorophyll a",53.49,"Phytoplankton",201
2019,2019-07-20,"Phycocyanin",21.685,"Phytoplankton",201
2019,2019-07-21,"Chlorophyll a",62.385,"Phytoplankton",202
2019,2019-07-21,"Phycocyanin",22.57,"Phytoplankton",202
2019,2019-07-22,"Chlorophyll a",64.04,"Phytoplankton",203
2019,2019-07-22,"Phycocyanin",24.13,"Phytoplankton",203
2019,2019-07-23,"Chlorophyll a",59.84,"Phytoplankton",204
2019,2019-07-23,"Phycocyanin",28.61,"Phytoplankton",204
2019,2019-07-24,"Chlorophyll a",55,"Phytoplankton",205
2019,2019-07-24,"Phycocyanin",31.64,"Phytoplankton",205
2019,2019-07-25,"Chlorophyll a",48.9,"Phytoplankton",206
2019,2019-07-25,"Phycocyanin",35.03,"Phytoplankton",206
2019,2019-07-26,"Chlorophyll a",46.775,"Phytoplankton",207
2019,2019-07-26,"Phycocyanin",37.655,"Phytoplankton",207
2019,2019-07-27,"Chlorophyll a",57.11,"Phytoplankton",208
2019,2019-07-27,"Phycocyanin",39.605,"Phytoplankton",208
2019,2019-07-28,"Chlorophyll a",59.54,"Phytoplankton",209
2019,2019-07-28,"Phycocyanin",37.44,"Phytoplankton",209
2019,2019-07-29,"Chlorophyll a",50.015,"Phytoplankton",210
2019,2019-07-29,"Phycocyanin",37.95,"Phytoplankton",210
2019,2019-07-30,"Chlorophyll a",44.675,"Phytoplankton",211
2019,2019-07-30,"Phycocyanin",36.565,"Phytoplankton",211
2019,2019-07-31,"Chlorophyll a",50,"Phytoplankton",212
2019,2019-07-31,"Phycocyanin",32.48,"Phytoplankton",212
2019,2019-08-01,"Chlorophyll a",49.085,"Phytoplankton",213
2019,2019-08-01,"Phycocyanin",28.705,"Phytoplankton",213
2019,2019-08-02,"Chlorophyll a",52.415,"Phytoplankton",214
2019,2019-08-02,"Phycocyanin",28.645,"Phytoplankton",214
2019,2019-08-03,"Chlorophyll a",59.615,"Phytoplankton",215
2019,2019-08-03,"Phycocyanin",32.3,"Phytoplankton",215
2019,2019-08-04,"Chlorophyll a",53.555,"Phytoplankton",216
2019,2019-08-04,"Phycocyanin",36.365,"Phytoplankton",216
2019,2019-08-05,"Chlorophyll a",53.39,"Phytoplankton",217
2019,2019-08-05,"Phycocyanin",31.02,"Phytoplankton",217
2019,2019-08-06,"Chlorophyll a",55.105,"Phytoplankton",218
2019,2019-08-06,"Phycocyanin",29.23,"Phytoplankton",218
2019,2019-08-07,"Chlorophyll a",64.055,"Phytoplankton",219
2019,2019-08-07,"Phycocyanin",32.975,"Phytoplankton",219
2019,2019-08-08,"Chlorophyll a",66.41,"Phytoplankton",220
2019,2019-08-08,"Phycocyanin",35.935,"Phytoplankton",220
2019,2019-08-09,"Chlorophyll a",61.495,"Phytoplankton",221
2019,2019-08-09,"Phycocyanin",37.645,"Phytoplankton",221
2019,2019-08-10,"Chlorophyll a",72.47,"Phytoplankton",222
2019,2019-08-10,"Phycocyanin",41.61,"Phytoplankton",222
2019,2019-08-11,"Chlorophyll a",65.455,"Phytoplankton",223
2019,2019-08-11,"Phycocyanin",46.785,"Phytoplankton",223
2019,2019-08-12,"Chlorophyll a",61.855,"Phytoplankton",224
2019,2019-08-12,"Phycocyanin",47.77,"Phytoplankton",224
2019,2019-08-13,"Chlorophyll a",67.68,"Phytoplankton",225
2019,2019-08-13,"Phycocyanin",48.895,"Phytoplankton",225
2019,2019-08-14,"Chlorophyll a",56.71,"Phytoplankton",226
2019,2019-08-14,"Phycocyanin",49.055,"Phytoplankton",226
2019,2019-08-15,"Chlorophyll a",61.025,"Phytoplankton",227
2019,2019-08-15,"Phycocyanin",46.055,"Phytoplankton",227
2019,2019-08-16,"Chlorophyll a",54.065,"Phytoplankton",228
2019,2019-08-16,"Phycocyanin",46.06,"Phytoplankton",228
2019,2019-08-17,"Chlorophyll a",56.505,"Phytoplankton",229
2019,2019-08-17,"Phycocyanin",45.405,"Phytoplankton",229
2019,2019-08-18,"Chlorophyll a",52.795,"Phytoplankton",230
2019,2019-08-18,"Phycocyanin",48.005,"Phytoplankton",230
2019,2019-08-19,"Chlorophyll a",51.175,"Phytoplankton",231
2019,2019-08-19,"Phycocyanin",48.375,"Phytoplankton",231
2019,2019-08-20,"Chlorophyll a",50.365,"Phytoplankton",232
2019,2019-08-20,"Phycocyanin",48.54,"Phytoplankton",232
2019,2019-08-21,"Chlorophyll a",47.345,"Phytoplankton",233
2019,2019-08-21,"Phycocyanin",48.765,"Phytoplankton",233
2019,2019-08-22,"Chlorophyll a",43.18,"Phytoplankton",234
2019,2019-08-22,"Phycocyanin",41.715,"Phytoplankton",234
2019,2019-08-23,"Chlorophyll a",42.17,"Phytoplankton",235
2019,2019-08-23,"Phycocyanin",38.235,"Phytoplankton",235
2019,2019-08-24,"Chlorophyll a",38.4,"Phytoplankton",236
2019,2019-08-24,"Phycocyanin",36.395,"Phytoplankton",236
2019,2019-08-25,"Chlorophyll a",38.41,"Phytoplankton",237
2019,2019-08-25,"Phycocyanin",34.47,"Phytoplankton",237
2019,2019-08-26,"Chlorophyll a",35.355,"Phytoplankton",238
2019,2019-08-26,"Phycocyanin",30.07,"Phytoplankton",238
2019,2019-08-27,"Chlorophyll a",36.57,"Phytoplankton",239
2019,2019-08-27,"Phycocyanin",27.625,"Phytoplankton",239
2019,2019-08-28,"Chlorophyll a",30.975,"Phytoplankton",240
2019,2019-08-28,"Phycocyanin",18.245,"Phytoplankton",240
2019,2019-08-29,"Chlorophyll a",31.265,"Phytoplankton",241
2019,2019-08-29,"Phycocyanin",20.01,"Phytoplankton",241
2019,2019-08-30,"Chlorophyll a",32.01,"Phytoplankton",242
2019,2019-08-30,"Phycocyanin",24.72,"Phytoplankton",242
2019,2019-08-31,"Chlorophyll a",28.53,"Phytoplankton",243
2019,2019-08-31,"Phycocyanin",22.655,"Phytoplankton",243
2019,2019-09-01,"Chlorophyll a",31.87,"Phytoplankton",244
2019,2019-09-01,"Phycocyanin",23.72,"Phytoplankton",244
2019,2019-09-02,"Chlorophyll a",34.305,"Phytoplankton",245
2019,2019-09-02,"Phycocyanin",26.975,"Phytoplankton",245
2019,2019-09-03,"Chlorophyll a",33.81,"Phytoplankton",246
2019,2019-09-03,"Phycocyanin",25.035,"Phytoplankton",246
2019,2019-09-04,"Chlorophyll a",36.07,"Phytoplankton",247
2019,2019-09-04,"Phycocyanin",27.3,"Phytoplankton",247
2019,2019-09-05,"Chlorophyll a",37.19,"Phytoplankton",248
2019,2019-09-05,"Phycocyanin",29.005,"Phytoplankton",248
2019,2019-09-06,"Chlorophyll a",35.095,"Phytoplankton",249
2019,2019-09-06,"Phycocyanin",31.675,"Phytoplankton",249
2019,2019-09-07,"Chlorophyll a",35.745,"Phytoplankton",250
2019,2019-09-07,"Phycocyanin",29.455,"Phytoplankton",250
2019,2019-09-08,"Chlorophyll a",33.295,"Phytoplankton",251
2019,2019-09-08,"Phycocyanin",29.265,"Phytoplankton",251
2019,2019-09-09,"Chlorophyll a",33.61,"Phytoplankton",252
2019,2019-09-09,"Phycocyanin",27.505,"Phytoplankton",252
2019,2019-09-10,"Chlorophyll a",31.375,"Phytoplankton",253
2019,2019-09-10,"Phycocyanin",26.955,"Phytoplankton",253
2019,2019-09-11,"Chlorophyll a",32.385,"Phytoplankton",254
2019,2019-09-11,"Phycocyanin",23.33,"Phytoplankton",254
2019,2019-09-12,"Chlorophyll a",34.185,"Phytoplankton",255
2019,2019-09-12,"Phycocyanin",24.44,"Phytoplankton",255
2019,2019-09-13,"Chlorophyll a",32.125,"Phytoplankton",256
2019,2019-09-13,"Phycocyanin",23.83,"Phytoplankton",256
2019,2019-09-14,"Chlorophyll a",34.575,"Phytoplankton",257
2019,2019-09-14,"Phycocyanin",26.995,"Phytoplankton",257
2019,2019-09-15,"Chlorophyll a",31.78,"Phytoplankton",258
2019,2019-09-15,"Phycocyanin",24.395,"Phytoplankton",258
2019,2019-09-16,"Chlorophyll a",33.38,"Phytoplankton",259
2019,2019-09-16,"Phycocyanin",23.555,"Phytoplankton",259
2019,2019-09-17,"Chlorophyll a",33.765,"Phytoplankton",260
2019,2019-09-17,"Phycocyanin",26.97,"Phytoplankton",260
2019,2019-09-18,"Chlorophyll a",36.585,"Phytoplankton",261
2019,2019-09-18,"Phycocyanin",30.165,"Phytoplankton",261
2019,2019-09-19,"Chlorophyll a",32.805,"Phytoplankton",262
2019,2019-09-19,"Phycocyanin",31.14,"Phytoplankton",262
2019,2019-09-20,"Chlorophyll a",35.17,"Phytoplankton",263
2019,2019-09-20,"Phycocyanin",30.25,"Phytoplankton",263
2019,2019-09-21,"Chlorophyll a",31.03,"Phytoplankton",264
2019,2019-09-21,"Phycocyanin",30.59,"Phytoplankton",264
2019,2019-09-22,"Chlorophyll a",33.95,"Phytoplankton",265
2019,2019-09-22,"Phycocyanin",27.225,"Phytoplankton",265
2019,2019-09-23,"Chlorophyll a",34.755,"Phytoplankton",266
2019,2019-09-23,"Phycocyanin",27.98,"Phytoplankton",266
2019,2019-09-24,"Chlorophyll a",37.04,"Phytoplankton",267
2019,2019-09-24,"Phycocyanin",29.05,"Phytoplankton",267
2019,2019-09-25,"Chlorophyll a",37.08,"Phytoplankton",268
2019,2019-09-25,"Phycocyanin",30.58,"Phytoplankton",268
2019,2019-09-26,"Chlorophyll a",37.21,"Phytoplankton",269
2019,2019-09-26,"Phycocyanin",31.495,"Phytoplankton",269
2019,2019-09-27,"Chlorophyll a",36.385,"Phytoplankton",270
2019,2019-09-27,"Phycocyanin",31.99,"Phytoplankton",270
2019,2019-09-28,"Chlorophyll a",37.07,"Phytoplankton",271
2019,2019-09-28,"Phycocyanin",31.71,"Phytoplankton",271
2019,2019-09-29,"Chlorophyll a",36.095,"Phytoplankton",272
2019,2019-09-29,"Phycocyanin",29.135,"Phytoplankton",272
2019,2019-09-30,"Chlorophyll a",37.98,"Phytoplankton",273
2019,2019-09-30,"Phycocyanin",27.685,"Phytoplankton",273
2019,2019-10-01,"Chlorophyll a",36.54,"Phytoplankton",274
2019,2019-10-01,"Phycocyanin",25.22,"Phytoplankton",274
2019,2019-10-02,"Chlorophyll a",37.485,"Phytoplankton",275
2019,2019-10-02,"Phycocyanin",24.31,"Phytoplankton",275
2019,2019-10-03,"Chlorophyll a",38.95,"Phytoplankton",276
2019,2019-10-03,"Phycocyanin",24.8,"Phytoplankton",276
2019,2019-10-04,"Chlorophyll a",41.84,"Phytoplankton",277
2019,2019-10-04,"Phycocyanin",23.95,"Phytoplankton",277
2019,2019-10-05,"Chlorophyll a",43.79,"Phytoplankton",278
2019,2019-10-05,"Phycocyanin",24.75,"Phytoplankton",278
2019,2019-10-06,"Chlorophyll a",40.545,"Phytoplankton",279
2019,2019-10-06,"Phycocyanin",23.85,"Phytoplankton",279
2019,2019-10-07,"Chlorophyll a",46.305,"Phytoplankton",280
2019,2019-10-07,"Phycocyanin",23.825,"Phytoplankton",280
2019,2019-10-08,"Chlorophyll a",47.475,"Phytoplankton",281
2019,2019-10-08,"Phycocyanin",22.04,"Phytoplankton",281
2019,2019-10-09,"Chlorophyll a",49.07,"Phytoplankton",282
2019,2019-10-09,"Phycocyanin",21.945,"Phytoplankton",282
